color,rank,name,eco_code,eco_key,games,wins,losses,draws,win_pct,priority,group_by,depth
white,1,E94  Kings Indian Defense Orthodox,E94,,12,2,8,2,16.7,270.1,eco,3
white,2,C13  French Defense Main Line,C13,,38,18,14,6,47.4,76.0,eco,3
white,3,D31  Queens Gambit Declined Semi,D31,,10,3,6,1,30.0,68.4,eco,3
white,4,C10  French Defense Rubinstein Fort,C10,,32,14,15,3,43.8,64.0,eco,3
white,5,A15  English Opening Anglo Indian,A15,,25,10,12,3,40.0,50.0,eco,3
white,6,A58  Benko Gambit Fully Accepted...8.Nf3,A58,,18,8,6,4,44.4,36.0,eco,3
white,7,E60  Kings Indian Defense Fianchetto,E60,,17,7,8,2,41.2,34.0,eco,3
white,8,E15  Queens Indian Defense Fianchetto,E15,,17,8,7,2,47.1,34.0,eco,3
white,9,E18  Queens Indian Defense Fianchetto,E18,,11,4,6,1,36.4,10.7,eco,3
white,10,A60  Benoni Defense Modern Variation...9.h3,A60,,11,4,5,2,36.4,10.7,eco,3
white,11,A45  Trompowsky Attack Classical Big,A45,,206,130,65,11,63.1,0,eco,3
white,12,B80  Sicilian Defense Open Scheveningen,B80,,17,14,3,0,82.4,0,eco,3
white,13,B06  Modern Defense Standard Line,B06,,102,68,29,5,66.7,0,eco,3
white,14,B35  Sicilian Defense Open Accelerated,B35,,22,15,6,1,68.2,0,eco,3
white,15,B77  Sicilian Defense Open Dragon,B77,,24,16,7,1,66.7,0,eco,3
white,16,A41  Queens Pawn Opening,A41,,17,11,5,1,64.7,0,eco,3
white,17,D00  Queens Pawn Opening Accelerated,D00,,71,46,22,3,64.8,0,eco,3
white,18,B33  Sicilian Defense Open,B33,,25,20,5,0,80.0,0,eco,3
white,19,B01  Scandinavian Defense Mieses Kotrc,B01,,95,67,24,4,70.5,0,eco,3
white,20,A03  Birds Opening Dutch Variation,A03,,10,7,2,1,70.0,0,eco,3
white,21,A02  Birds Opening,A02,,14,10,3,1,71.4,0,eco,3
white,22,A00  Kings Fianchetto Opening,A00,,131,79,43,9,60.3,0,eco,3
white,23,B07  Pirc Defense,B07,,48,37,9,2,77.1,0,eco,3
white,24,A04  Reti Opening Black Mustang,A04,,75,46,24,5,61.3,0,eco,3
white,25,C46  Three Knights Opening...5.d4 Bd6,C46,,35,23,9,3,65.7,0,eco,3
white,26,C11  French Defense Burn Main,C11,,23,19,3,1,82.6,0,eco,3
white,27,C50  Giuoco Piano Game,C50,,24,16,7,1,66.7,0,eco,3
white,28,C18  French Defense Winawer Advance,C18,,26,16,9,1,61.5,0,eco,3
white,29,B00  Kings Pawn Opening,B00,,84,54,25,5,64.3,0,eco,3
white,30,B09  Pirc Defense Main Line,B09,,40,30,8,2,75.0,0,eco,3
white,31,A08  Kings Indian Attack French,A08,,10,8,1,1,80.0,0,eco,3
white,32,A07  Kings Indian Attack,A07,,58,41,15,2,70.7,0,eco,3
white,33,C48  Four Knights Game Spanish,C48,,54,32,21,1,59.3,0,eco,3
white,34,A05  Reti Opening Kings Indian,A05,,41,21,17,3,51.2,0,eco,3
white,35,B45  Sicilian Defense Four Knights,B45,,11,8,0,3,72.7,0,eco,3
white,36,C16  French Defense Winawer Advance,C16,,12,6,5,1,50.0,0,eco,3
white,37,C41  Philidor Defense,C41,,42,27,14,1,64.3,0,eco,3
white,38,A80  Dutch Defense Raphael Variation,A80,,11,9,1,1,81.8,0,eco,3
white,39,B40  Sicilian Defense Pin Variation,B40,,25,17,6,2,68.0,0,eco,3
white,40,B90  Sicilian Defense Open Najdorf,B90,,52,38,8,6,73.1,0,eco,3
white,41,C12  French Defense Classical MacCutcheon,C12,,14,9,5,0,64.3,0,eco,3
white,42,B75  Sicilian Defense Open Dragon,B75,,10,5,3,2,50.0,0,eco,3
white,43,B04  Alekhines Defense Modern Schmid,B04,,29,18,11,0,62.1,0,eco,3
white,44,C49  Four Knights Game Double,C49,,24,16,5,3,66.7,0,eco,3
white,45,C45  Scotch Game,C45,,11,8,3,0,72.7,0,eco,3
white,46,C00  French Defense Normal Variation,C00,,39,19,19,1,48.7,0,eco,3
white,47,D20  Queens Gambit Accepted Central,D20,,11,9,2,0,81.8,0,eco,3
white,48,C40  Kings Pawn Opening Kings,C40,,18,14,4,0,77.8,0,eco,3
white,49,A10  English Opening,A10,,13,7,4,2,53.8,0,eco,3
white,50,B15  Caro Kann Defense,B15,,25,16,6,3,64.0,0,eco,3
white,51,B41  Sicilian Defense Kan Maroczy,B41,,37,28,8,1,75.7,0,eco,3
white,52,B48  Sicilian Defense Taimanov Bastrikov,B48,,23,16,5,2,69.6,0,eco,3
white,53,A43  Old Benoni Defense,A43,,49,35,12,2,71.4,0,eco,3
white,54,A30  English Opening Symmetrical Variation...5.O,A30,,25,12,12,1,48.0,0,eco,3
white,55,B12  Caro Kann Defense Advance,B12,,25,15,6,4,60.0,0,eco,3
white,56,E04  Catalan Opening Closed...6.O O,E04,,17,11,6,0,64.7,0,eco,3
white,57,B02  Alekhines Defense Scandinavian Variation,B02,,24,12,12,0,50.0,0,eco,3
white,58,A13  English Opening Neo Catalan,A13,,31,19,8,4,61.3,0,eco,3
white,59,B03  Alekhines Defense Normal Variation,B03,,10,6,4,0,60.0,0,eco,3
white,60,A40  Queens Pawn Opening,A40,,65,39,22,4,60.0,0,eco,3
white,61,C55  Italian Game Two Knights,C55,,10,6,4,0,60.0,0,eco,3
white,62,B10  Caro Kann Defense Two,B10,,13,8,4,1,61.5,0,eco,3
white,63,B27  Sicilian Defense Katalimov Variation,B27,,13,9,4,0,69.2,0,eco,3
white,64,B19  Caro Kann Defense Classical,B19,,10,5,4,1,50.0,0,eco,3
white,65,A46  Indian Game Spielmann Indian,A46,,15,9,5,1,60.0,0,eco,3
white,66,B32  Sicilian Defense Open Lowenthal,B32,,18,11,6,1,61.1,0,eco,3
white,67,D02  Queens Pawn Opening Pseudo,D02,,31,18,13,0,58.1,0,eco,3
white,68,D78  Neo Grunfeld Defense Classical,D78,,15,10,3,2,66.7,0,eco,3
white,69,A49  Indian Game East Indian,A49,,14,6,7,1,42.9,0,eco,3
white,70,E01  Catalan Opening Closed...5.Nd2 O,E01,,20,12,6,2,60.0,0,eco,3
white,71,D43  Semi Slav Defense,D43,,17,10,6,1,58.8,0,eco,3
white,72,E07  Catalan Opening Closed Botvinnik,E07,,16,11,2,3,68.8,0,eco,3
white,73,D34  Tarrasch Defense Two Knights,D34,,12,6,4,2,50.0,0,eco,3
white,74,E05  Catalan Opening Open Defense,E05,,25,13,10,2,52.0,0,eco,3
white,75,B76  Sicilian Defense Open Dragon,B76,,22,17,2,3,77.3,0,eco,3
white,76,D11  Slav Defense Modern Line...6.O,D11,,22,12,8,2,54.5,0,eco,3
white,77,B28  Sicilian Defense OKelly Normal,B28,,11,8,3,0,72.7,0,eco,3
white,78,A31  English Opening Symmetrical Anti,A31,,12,5,5,2,41.7,0,eco,3
white,79,D30  Queens Gambit Declined Catalan,D30,,15,9,4,2,60.0,0,eco,3
white,80,D19  Slav Defense Modern Alapin,D19,,11,7,4,0,63.6,0,eco,3
white,81,D16  Slav Defense Modern Alapin,D16,,10,7,3,0,70.0,0,eco,3
white,82,E17  Queens Indian Defense Fianchetto,E17,,11,9,1,1,81.8,0,eco,3
white,83,E97  Kings Indian Defense Bayonet,E97,,32,16,14,2,50.0,0,eco,3
