color,rank,name,eco_code,eco_key,games,wins,losses,draws,win_pct,priority,group_by,depth
white,1,Queens Indian Defense Fianchetto,,Queens-Indian-Defense-Fianchetto,46,22,19,5,47.8,92.0,url,4
white,2,French Defense Main Line,,French-Defense-Main-Line,38,18,14,6,47.4,76.0,url,4
white,3,English Opening Anglo Indian,,English-Opening-Anglo-Indian,28,13,12,3,46.4,56.0,url,4
white,4,Kings Indian Defense Bayonet,,Kings-Indian-Defense-Bayonet,27,11,14,2,40.7,54.0,url,4
white,5,French Defense Kings Indian,,French-Defense-Kings-Indian,17,8,9,0,47.1,34.0,url,4
white,6,French Defense Normal Variation,,French-Defense-Normal-Variation,15,7,8,0,46.7,30.0,url,4
white,7,English Opening Symmetrical Anti,,English-Opening-Symmetrical-Anti,15,7,5,3,46.7,30.0,url,4
white,8,Queens Gambit Declined Catalan,,Queens-Gambit-Declined-Catalan,15,6,7,2,40.0,30.0,url,4
white,9,Trompowsky Attack Classical Big,,Trompowsky-Attack-Classical-Big,52,34,17,1,65.4,0,url,4
white,10,Sicilian Defense Open Scheveningen,,Sicilian-Defense-Open-Scheveningen,21,18,3,0,85.7,0,url,4
white,11,Modern Defense Standard Line,,Modern-Defense-Standard-Line,13,9,4,0,69.2,0,url,4
white,12,Sicilian Defense Open Accelerated,,Sicilian-Defense-Open-Accelerated,32,18,10,4,56.2,0,url,4
white,13,Sicilian Defense Open Dragon,,Sicilian-Defense-Open-Dragon,73,49,16,8,67.1,0,url,4
white,14,Modern Defense Standard Pseudo,,Modern-Defense-Standard-Pseudo,36,22,13,1,61.1,0,url,4
white,15,Queens Pawn Opening,,Queens-Pawn-Opening,19,12,6,1,63.2,0,url,4
white,16,Queens Pawn Opening Chigorin,,Queens-Pawn-Opening-Chigorin,20,12,7,1,60.0,0,url,4
white,17,Scandinavian Defense Mieses Kotrc,,Scandinavian-Defense-Mieses-Kotrc,73,55,17,1,75.3,0,url,4
white,18,Queens Pawn Opening Accelerated,,Queens-Pawn-Opening-Accelerated,28,19,9,0,67.9,0,url,4
white,19,Birds Opening,,Birds-Opening,10,6,3,1,60.0,0,url,4
white,20,Undefined,,Undefined,18,9,5,4,50.0,0,url,4
white,21,Mieses Opening,,Mieses-Opening,25,13,9,3,52.0,0,url,4
white,22,Reti Opening Pirc Invitation,,Reti-Opening-Pirc-Invitation,11,8,3,0,72.7,0,url,4
white,23,Three Knights Opening...5.d4 Bd6,,Three-Knights-Opening...5.d4-Bd6,13,7,6,0,53.8,0,url,4
white,24,Three Knights Opening,,Three-Knights-Opening,20,15,2,3,75.0,0,url,4
white,25,Modern Defense Three Pawns,,Modern-Defense-Three-Pawns,10,7,2,1,70.0,0,url,4
white,26,Sicilian Defense Open Pelikan,,Sicilian-Defense-Open-Pelikan,20,17,3,0,85.0,0,url,4
white,27,French Defense Winawer Advance,,French-Defense-Winawer-Advance,36,22,13,1,61.1,0,url,4
white,28,French Defense Classical Burn,,French-Defense-Classical-Burn,17,15,1,1,88.2,0,url,4
white,29,Trompowsky Attack Raptor Variation,,Trompowsky-Attack-Raptor-Variation,10,5,5,0,50.0,0,url,4
white,30,Pirc Defense Main Line,,Pirc-Defense-Main-Line,44,33,8,3,75.0,0,url,4
white,31,Four Knights Game Spanish,,Four-Knights-Game-Spanish,54,32,21,1,59.3,0,url,4
white,32,Reti Opening Kings Indian,,Reti-Opening-Kings-Indian,39,20,16,3,51.3,0,url,4
white,33,Kings Indian Attack,,Kings-Indian-Attack,19,14,5,0,73.7,0,url,4
white,34,Sicilian Defense Four Knights,,Sicilian-Defense-Four-Knights,10,7,0,3,70.0,0,url,4
white,35,English Opening Neo Catalan,,English-Opening-Neo-Catalan,21,12,6,3,57.1,0,url,4
white,36,Philidor Defense,,Philidor-Defense,10,8,2,0,80.0,0,url,4
white,37,Indian Game,,Indian-Game,28,15,10,3,53.6,0,url,4
white,38,Trompowsky Attack,,Trompowsky-Attack,52,33,14,5,63.5,0,url,4
white,39,Pirc Defense Czech Defense,,Pirc-Defense-Czech-Defense,12,9,3,0,75.0,0,url,4
white,40,Sicilian Defense Open Najdorf,,Sicilian-Defense-Open-Najdorf,52,38,8,6,73.1,0,url,4
white,41,Reti Opening Sicilian Invitation,,Reti-Opening-Sicilian-Invitation,11,6,4,1,54.5,0,url,4
white,42,French Defense Classical MacCutcheon,,French-Defense-Classical-MacCutcheon,14,9,5,0,64.3,0,url,4
white,43,Kings Indian Attack Yugoslav,,Kings-Indian-Attack-Yugoslav,26,16,8,2,61.5,0,url,4
white,44,Four Knights Game Double,,Four-Knights-Game-Double,24,16,5,3,66.7,0,url,4
white,45,Pirc Defense,,Pirc-Defense,17,13,3,1,76.5,0,url,4
white,46,Kings Pawn Opening,,Kings-Pawn-Opening,15,12,2,1,80.0,0,url,4
white,47,Caro Kann Defense Tartakower,,Caro-Kann-Defense-Tartakower,12,7,5,0,58.3,0,url,4
white,48,Caro Kann Defense Classical,,Caro-Kann-Defense-Classical,15,8,6,1,53.3,0,url,4
white,49,Van t Kruijs Opening,,Van-t-Kruijs-Opening,18,11,7,0,61.1,0,url,4
white,50,Owens Defense,,Owens-Defense,25,14,8,3,56.0,0,url,4
white,51,Sicilian Defense Kan Maroczy,,Sicilian-Defense-Kan-Maroczy,37,28,8,1,75.7,0,url,4
white,52,Sicilian Defense Taimanov Bastrikov,,Sicilian-Defense-Taimanov-Bastrikov,30,19,6,5,63.3,0,url,4
white,53,Old Benoni Defense,,Old-Benoni-Defense,42,30,10,2,71.4,0,url,4
white,54,Caro Kann Defense Advance,,Caro-Kann-Defense-Advance,22,14,5,3,63.6,0,url,4
white,55,Sicilian Defense Open Classical,,Sicilian-Defense-Open-Classical,18,9,8,1,50.0,0,url,4
white,56,Alekhines Defense Modern Larsen,,Alekhines-Defense-Modern-Larsen,18,12,6,0,66.7,0,url,4
white,57,Alekhines Defense Scandinavian Variation,,Alekhines-Defense-Scandinavian-Variation,12,8,4,0,66.7,0,url,4
white,58,Kings Indian Defense Fianchetto,,Kings-Indian-Defense-Fianchetto,32,17,13,2,53.1,0,url,4
white,59,Owens Defense...3.Nc3 e6,,Owens-Defense...3.Nc3-e6,11,5,6,0,45.5,0,url,4
white,60,Kings Pawn Opening Kings,,Kings-Pawn-Opening-Kings,16,13,3,0,81.2,0,url,4
white,61,Kings Pawn Opening St,,Kings-Pawn-Opening-St,14,11,2,1,78.6,0,url,4
white,62,Italian Game Two Knights,,Italian-Game-Two-Knights,10,6,4,0,60.0,0,url,4
white,63,Sicilian Defense Open Prins,,Sicilian-Defense-Open-Prins,11,6,5,0,54.5,0,url,4
white,64,Caro Kann Defense,,Caro-Kann-Defense,11,9,2,0,81.8,0,url,4
white,65,Queens Pawn Opening Levitsky,,Queens-Pawn-Opening-Levitsky,15,10,3,2,66.7,0,url,4
white,66,Modern Defense Standard Pterodactyl,,Modern-Defense-Standard-Pterodactyl,16,12,4,0,75.0,0,url,4
white,67,Caro Kann Defense Two,,Caro-Kann-Defense-Two,13,7,5,1,53.8,0,url,4
white,68,Queens Pawn Opening Pseudo,,Queens-Pawn-Opening-Pseudo,18,12,6,0,66.7,0,url,4
