color,rank,name,eco_code,eco_key,games,wins,losses,draws,win_pct,priority,group_by,depth
white,1,B06  Modern Defense with,B06,,21,6,12,3,28.6,263.7,eco,3
white,2,A48  Indian Game East Indian,A48,,19,6,11,2,31.6,169.9,eco,3
white,3,C44  Kings Pawn Opening Kings,C44,,25,9,16,0,36.0,141.3,eco,3
white,4,B00  Kings Pawn Opening,B00,,63,28,34,1,44.4,126.0,eco,3
white,5,C25  Vienna Game,C25,,29,11,17,1,37.9,124.7,eco,3
white,6,D06  Queens Gambit Declined Marshall,D06,,29,11,17,1,37.9,124.7,eco,3
white,7,D20  Queens Gambit Accepted Central,D20,,49,21,25,3,42.9,98.0,eco,3
white,8,A41  Queens Pawn Opening,A41,,24,9,14,1,37.5,94.9,eco,3
white,9,C50  Italian Game,C50,,25,11,14,0,44.0,50.0,eco,3
white,10,A43  Old Benoni Defense,A43,,18,7,11,0,38.9,36.0,eco,3
white,11,A46  Indian Game London System,A46,,16,7,9,0,43.8,32.0,eco,3
white,12,C20  Kings Pawn Opening Leonardis,C20,,79,40,37,2,50.6,0,eco,3
white,13,C40  Kings Pawn Opening Kings,C40,,49,26,23,0,53.1,0,eco,3
white,14,C00  French Defense Normal Variation,C00,,44,22,20,2,50.0,0,eco,3
white,15,C41  Philidor Defense,C41,,38,20,17,1,52.6,0,eco,3
white,16,B07  Pirc Defense,B07,,33,17,15,1,51.5,0,eco,3
white,17,B02  Alekhines Defense Maroczy Variation,B02,,11,6,5,0,54.5,0,eco,3
white,18,D02  Queens Pawn Opening Zukertort,D02,,387,198,178,11,51.2,0,eco,3
white,19,A40  Englund Gambit,A40,,373,194,168,11,52.0,0,eco,3
white,20,B01  Scandinavian Defense,B01,,85,41,40,4,48.2,0,eco,3
white,21,C42  Petrovs Defense,C42,,43,24,19,0,55.8,0,eco,3
white,22,D00  Queens Pawn Opening Accelerated,D00,,343,167,167,9,48.7,0,eco,3
white,23,B10  Caro Kann Defense,B10,,24,14,9,1,58.3,0,eco,3
white,24,A80  Dutch Defense,A80,,23,13,10,0,56.5,0,eco,3
white,25,C21  Center Game,C21,,12,8,3,1,66.7,0,eco,3
white,26,A45  Indian Game,A45,,86,51,33,2,59.3,0,eco,3
white,27,B15  Caro Kann Defense,B15,,10,4,5,1,40.0,0,eco,3
white,28,C22  Center Game Accepted Normal,C22,,11,5,5,1,45.5,0,eco,3
white,29,D10  Slav Defense,D10,,17,12,5,0,70.6,0,eco,3
white,30,D30  Queens Gambit Declined,D30,,27,14,10,3,51.9,0,eco,3
white,31,D07  Queens Gambit Declined Chigorin,D07,,19,11,7,1,57.9,0,eco,3
black,1,A01  Nimzowitsch Larsen Attack Indian,A01,,21,6,14,1,28.6,263.7,eco,3
black,2,C20  Kings Pawn Opening,C20,,130,60,66,4,46.2,260.0,eco,3
black,3,B12  Caro Kann Defense Advance,B12,,38,14,22,2,36.8,243.2,eco,3
black,4,C45  Scotch Game,C45,,27,9,16,2,33.3,235.1,eco,3
black,5,D02  Queens Pawn Opening Zukertort,D02,,37,14,23,0,37.8,196.0,eco,3
black,6,A45  Indian Game,A45,,45,18,26,1,40.0,169.1,eco,3
black,7,C47  Four Knights Game,C47,,11,3,8,0,27.3,113.7,eco,3
black,8,C41  Philidor Defense,C41,,38,18,19,1,47.4,76.0,eco,3
black,9,C50  Giuoco Piano Game Four,C50,,35,15,19,1,42.9,70.0,eco,3
black,10,C25  Vienna Game,C25,,12,4,8,0,33.3,55.1,eco,3
black,11,B06  Modern Defense with,B06,,22,9,13,0,40.9,44.0,eco,3
black,12,B00  Kings Pawn Opening,B00,,14,5,9,0,35.7,43.1,eco,3
black,13,C42  Petrovs Defense Classical Variation,C42,,41,20,20,1,48.8,0,eco,3
black,14,A00  Van t Kruijs Opening,A00,,170,84,81,5,49.4,0,eco,3
black,15,B07  Pirc Defense Modern Defense,B07,,673,344,297,32,51.1,0,eco,3
black,16,D00  Queens Pawn Opening,D00,,80,42,37,1,52.5,0,eco,3
black,17,C21  Center Game,C21,,10,5,5,0,50.0,0,eco,3
black,18,C44  Kings Pawn Opening Kings,C44,,23,12,10,1,52.2,0,eco,3
black,19,C23  Bishops Opening,C23,,14,8,4,2,57.1,0,eco,3
black,20,C00  French Defense,C00,,12,7,4,1,58.3,0,eco,3
black,21,C24  Bishops Opening Berlin Defense,C24,,13,8,5,0,61.5,0,eco,3
black,22,C22  Center Game Accepted Paulsen,C22,,14,10,3,1,71.4,0,eco,3
black,23,A46  Indian Game Tartakower Defense,A46,,30,18,10,2,60.0,0,eco,3
black,24,A15  English Opening Anglo Indian,A15,,10,6,2,2,60.0,0,eco,3
black,25,A04  Reti Opening Pirc Invitation,A04,,15,9,6,0,60.0,0,eco,3
black,26,A40  Modern Defense with,A40,,37,18,18,1,48.6,0,eco,3
black,27,A41  Queens Pawn Opening,A41,,69,38,27,4,55.1,0,eco,3
black,28,A48  Indian Game East Indian,A48,,41,24,17,0,58.5,0,eco,3
black,29,B08  Pirc Defense Classical Variation,B08,,216,105,102,9,48.6,0,eco,3
black,30,A53  Old Indian Defense,A53,,14,9,4,1,64.3,0,eco,3
black,31,B10  Caro Kann Defense,B10,,56,29,23,4,51.8,0,eco,3
black,32,E61  Kings Indian Defense Normal,E61,,26,13,12,1,50.0,0,eco,3
black,33,E90  Kings Indian Defense Normal,E90,,14,6,6,2,42.9,0,eco,3
black,34,B09  Pirc Defense Main Line,B09,,12,5,7,0,41.7,0,eco,3
black,35,B13  Caro Kann Defense Exchange,B13,,28,15,10,3,53.6,0,eco,3
