color,rank,name,eco_code,eco_key,games,wins,losses,draws,win_pct,priority,group_by,depth
white,1,Sicilian Defense Hyperaccelerated,,Sicilian-Defense-Hyperaccelerated,24,8,15,1,33.3,197.0,url,3
white,2,Scotch Game Goring,,Scotch-Game-Goring,43,17,19,7,39.5,175.5,url,3
white,3,French Defense Advance,,French-Defense-Advance,50,23,22,5,46.0,100.0,url,3
white,4,Scandinavian Defense Modern,,Scandinavian-Defense-Modern,24,9,11,4,37.5,94.9,url,3
white,5,Sicilian Defense Canal,,Sicilian-Defense-Canal,75,39,28,8,52.0,0,url,3
white,6,Philidor Defense,,Philidor-Defense,48,34,7,7,70.8,0,url,3
white,7,Ruy Lopez Opening,,Ruy-Lopez-Opening,243,153,70,20,63.0,0,url,3
white,8,Alapin Sicilian Defense...3.Nf3,,Alapin-Sicilian-Defense...3.Nf3,28,16,10,2,57.1,0,url,3
white,9,French Defense Exchange,,French-Defense-Exchange,117,60,42,15,51.3,0,url,3
white,10,Sicilian Defense Old,,Sicilian-Defense-Old,29,14,10,5,48.3,0,url,3
white,11,Queens Pawn Opening,,Queens-Pawn-Opening,18,11,5,2,61.1,0,url,3
white,12,Closed Sicilian Defense,,Closed-Sicilian-Defense,19,10,8,1,52.6,0,url,3
white,13,Sicilian Defense,,Sicilian-Defense,53,27,16,10,50.9,0,url,3
white,14,Modern Defense with,,Modern-Defense-with,35,17,15,3,48.6,0,url,3
white,15,Alapin Sicilian Defense,,Alapin-Sicilian-Defense,203,128,52,23,63.1,0,url,3
white,16,Kings Pawn Opening,,Kings-Pawn-Opening,39,26,10,3,66.7,0,url,3
white,17,Caro Kann Defense,,Caro-Kann-Defense,115,56,45,14,48.7,0,url,3
white,18,Nimzowitsch Defense Kennedy,,Nimzowitsch-Defense-Kennedy,39,19,18,2,48.7,0,url,3
white,19,Petrovs Defense Classical,,Petrovs-Defense-Classical,42,36,3,3,85.7,0,url,3
white,20,Pirc Defense Classical,,Pirc-Defense-Classical,16,8,8,0,50.0,0,url,3
white,21,Sicilian Defense Nyezhmetdinov,,Sicilian-Defense-Nyezhmetdinov,40,22,14,4,55.0,0,url,3
white,22,Scandinavian Defense Mieses,,Scandinavian-Defense-Mieses,83,44,28,11,53.0,0,url,3
white,23,French Defense Normal,,French-Defense-Normal,20,10,6,4,50.0,0,url,3
white,24,Pirc Defense,,Pirc-Defense,14,7,7,0,50.0,0,url,3
white,25,Owens Defense,,Owens-Defense,14,8,3,3,57.1,0,url,3
white,26,Alapin Sicilian Defense...3.d4,,Alapin-Sicilian-Defense...3.d4,30,18,7,5,60.0,0,url,3
white,27,Center Game,,Center-Game,19,13,3,3,68.4,0,url,3
white,28,Danish Gambit,,Danish-Gambit,216,131,63,22,60.6,0,url,3
white,29,Pirc Defense Maroczy,,Pirc-Defense-Maroczy,10,8,2,0,80.0,0,url,3
white,30,Danish Gambit Declined,,Danish-Gambit-Declined,41,21,14,6,51.2,0,url,3
white,31,Alapin Sicilian Defense...5.d4,,Alapin-Sicilian-Defense...5.d4,12,6,4,2,50.0,0,url,3
white,32,Alapin Sicilian Defense...4.d4,,Alapin-Sicilian-Defense...4.d4,22,11,8,3,50.0,0,url,3
